neighbourhood.group,cancellation_policy
Brooklyn,strict
Manhattan,moderate
Brooklyn,moderate
Manhattan,moderate
Manhattan,flexible
Brooklyn,moderate
Brooklyn,moderate
Manhattan,strict
Manhattan,strict
Manhattan,flexible
Manhattan,flexible
Manhattan,strict
Brooklyn,moderate
Manhattan,flexible
Brooklyn,moderate
Manhattan,moderate
Manhattan,strict
Brooklyn,flexible
Brooklyn,strict
Manhattan,strict
Brooklyn,strict
Manhattan,flexible
Brooklyn,strict
Manhattan,strict
Brooklyn,flexible
Brooklyn,strict
Manhattan,flexible
Brooklyn,moderate
Manhattan,strict
Brooklyn,flexible
Manhattan,moderate
Manhattan,strict
Manhattan,strict
Brooklyn,moderate
Brooklyn,moderate
Brooklyn,strict
Manhattan,moderate
Brooklyn,moderate
Brooklyn,strict
Brooklyn,flexible
Brooklyn,moderate
Staten Island,strict
Brooklyn,moderate
Bronx,flexible
Brooklyn,strict
Manhattan,flexible
Manhattan,strict
Brooklyn,flexible
Manhattan,strict
Manhattan,strict
Manhattan,strict
Manhattan,strict
Brooklyn,flexible
Queens,flexible
Manhattan,strict
Brooklyn,strict
Brooklyn,strict
Manhattan,moderate
Bronx,flexible
Manhattan,flexible
Brooklyn,strict
Manhattan,strict
Brooklyn,strict
Manhattan,flexible
Manhattan,flexible
Manhattan,moderate
Manhattan,strict
Manhattan,moderate
Manhattan,flexible
Brooklyn,strict
Manhattan,moderate
Manhattan,strict
Queens,strict
Brooklyn,flexible
Manhattan,flexible
Manhattan,flexible
Manhattan,strict
Manhattan,moderate
Manhattan,flexible
Manhattan,moderate
Manhattan,flexible
Manhattan,moderate
Manhattan,strict
Manhattan,moderate
Brooklyn,moderate
Brooklyn,moderate
Manhattan,strict
Brooklyn,strict
Manhattan,moderate
Brooklyn,moderate
Manhattan,moderate
Manhattan,moderate
Manhattan,flexible
Brooklyn,flexible
Manhattan,strict
Brooklyn,flexible
Brooklyn,strict
Manhattan,moderate
Manhattan,moderate
Brooklyn,strict
Manhattan,moderate
Manhattan,strict
Manhattan,strict
Manhattan,strict
Manhattan,flexible
Manhattan,strict
Brooklyn,moderate
Bronx,strict
Manhattan,moderate
Brooklyn,flexible
Brooklyn,strict
Brooklyn,flexible
Manhattan,moderate
Manhattan,moderate
Queens,moderate
Brooklyn,flexible
Brooklyn,strict
Manhattan,flexible
Brooklyn,flexible
Brooklyn,strict
Manhattan,flexible
Brooklyn,moderate
Brooklyn,flexible
Brooklyn,moderate
Manhattan,flexible
Queens,moderate
Brooklyn,flexible
Brooklyn,strict
Manhattan,moderate
Brooklyn,moderate
Brooklyn,flexible
Manhattan,moderate
Queens,flexible
Brooklyn,moderate
Manhattan,strict
Brooklyn,flexible
Brooklyn,strict
Manhattan,strict
Manhattan,strict
Brooklyn,flexible
Manhattan,strict
Manhattan,flexible
Brooklyn,flexible
Brooklyn,strict
Manhattan,moderate
Brooklyn,flexible
Manhattan,strict
Manhattan,flexible
Manhattan,moderate
Brooklyn,strict
Brooklyn,moderate
Manhattan,moderate
Brooklyn,moderate
Brooklyn,flexible
Brooklyn,strict
Manhattan,strict
Manhattan,strict
Brooklyn,strict
Brooklyn,flexible
Manhattan,moderate
Manhattan,moderate
Brooklyn,strict
Manhattan,flexible
Manhattan,flexible
Manhattan,strict
Manhattan,strict
Bronx,moderate
Manhattan,strict
Queens,flexible
Brooklyn,moderate
Manhattan,flexible
Manhattan,moderate
Manhattan,moderate
