host_identity_verified,neighbourhood.group
unconfirmed,Brooklyn
verified,Manhattan
unconfirmed,Brooklyn
verified,Manhattan
verified,Manhattan
unknown,Brooklyn
unconfirmed,Brooklyn
verified,Manhattan
unconfirmed,Manhattan
verified,Manhattan
verified,Manhattan
verified,Manhattan
verified,Brooklyn
verified,Manhattan
verified,Brooklyn
unknown,Manhattan
unconfirmed,Manhattan
verified,Brooklyn
unknown,Brooklyn
unconfirmed,Manhattan
unconfirmed,Brooklyn
unconfirmed,Manhattan
verified,Brooklyn
unconfirmed,Manhattan
unconfirmed,Brooklyn
unknown,Brooklyn
unconfirmed,Manhattan
verified,Brooklyn
verified,Manhattan
verified,Brooklyn
unconfirmed,Manhattan
unconfirmed,Manhattan
unconfirmed,Manhattan
unconfirmed,Brooklyn
verified,Brooklyn
unconfirmed,Brooklyn
verified,Manhattan
unconfirmed,Brooklyn
verified,Brooklyn
unconfirmed,Brooklyn
unknown,Brooklyn
unknown,Staten Island
unknown,Brooklyn
unknown,Bronx
unknown,Brooklyn
unknown,Manhattan
verified,Manhattan
unconfirmed,Brooklyn
verified,Manhattan
verified,Manhattan
unconfirmed,Manhattan
verified,Manhattan
unconfirmed,Brooklyn
unconfirmed,Queens
unconfirmed,Manhattan
unconfirmed,Brooklyn
unconfirmed,Brooklyn
unknown,Manhattan
unknown,Bronx
unknown,Manhattan
unconfirmed,Brooklyn
verified,Manhattan
unconfirmed,Brooklyn
unconfirmed,Manhattan
verified,Manhattan
unconfirmed,Manhattan
unconfirmed,Manhattan
verified,Manhattan
unconfirmed,Manhattan
verified,Brooklyn
unconfirmed,Manhattan
verified,Manhattan
unconfirmed,Queens
unconfirmed,Brooklyn
unconfirmed,Manhattan
unconfirmed,Manhattan
verified,Manhattan
unconfirmed,Manhattan
unconfirmed,Manhattan
verified,Manhattan
verified,Manhattan
unconfirmed,Manhattan
unconfirmed,Manhattan
unconfirmed,Manhattan
unknown,Brooklyn
verified,Brooklyn
verified,Manhattan
unconfirmed,Brooklyn
unconfirmed,Manhattan
unconfirmed,Brooklyn
unknown,Manhattan
unknown,Manhattan
unknown,Manhattan
unknown,Brooklyn
verified,Manhattan
verified,Brooklyn
unconfirmed,Brooklyn
verified,Manhattan
verified,Manhattan
unconfirmed,Brooklyn
unconfirmed,Manhattan
unconfirmed,Manhattan
verified,Manhattan
unconfirmed,Manhattan
verified,Manhattan
verified,Manhattan
unconfirmed,Brooklyn
verified,Bronx
verified,Manhattan
verified,Brooklyn
verified,Brooklyn
verified,Brooklyn
verified,Manhattan
unconfirmed,Manhattan
unconfirmed,Queens
verified,Brooklyn
verified,Brooklyn
unconfirmed,Manhattan
verified,Brooklyn
verified,Brooklyn
verified,Manhattan
verified,Brooklyn
verified,Brooklyn
unconfirmed,Brooklyn
verified,Manhattan
verified,Queens
unconfirmed,Brooklyn
verified,Brooklyn
verified,Manhattan
unconfirmed,Brooklyn
unconfirmed,Brooklyn
unconfirmed,Manhattan
verified,Queens
verified,Brooklyn
verified,Manhattan
verified,Brooklyn
unconfirmed,Brooklyn
verified,Manhattan
unconfirmed,Manhattan
unconfirmed,Brooklyn
verified,Manhattan
unconfirmed,Manhattan
verified,Brooklyn
unconfirmed,Brooklyn
verified,Manhattan
unconfirmed,Brooklyn
verified,Manhattan
unconfirmed,Manhattan
unconfirmed,Manhattan
verified,Brooklyn
verified,Brooklyn
verified,Manhattan
verified,Brooklyn
verified,Brooklyn
unconfirmed,Brooklyn
unconfirmed,Manhattan
verified,Manhattan
verified,Brooklyn
verified,Brooklyn
unconfirmed,Manhattan
unconfirmed,Manhattan
unconfirmed,Brooklyn
verified,Manhattan
verified,Manhattan
unconfirmed,Manhattan
unconfirmed,Manhattan
unconfirmed,Bronx
unconfirmed,Manhattan
unconfirmed,Queens
unconfirmed,Brooklyn
verified,Manhattan
unconfirmed,Manhattan
verified,Manhattan
unconfirmed,Queens
verified,Brooklyn
unconfirmed,Manhattan
unconfirmed,Manhattan
verified,Brooklyn
verified,Brooklyn
unconfirmed,Brooklyn
verified,Brooklyn
verified,Brooklyn
verified,Brooklyn
unconfirmed,Brooklyn
unconfirmed,Brooklyn
verified,Brooklyn
unconfirmed,Manhattan
verified,Manhattan
verified,Manhattan
verified,Queens
verified,Brooklyn
unconfirmed,Manhattan
unknown,Manhattan
unknown,Brooklyn
unknown,Manhattan
unknown,Queens
unconfirmed,Manhattan
unconfirmed,Manhattan
unconfirmed,Manhattan
unconfirmed,Brooklyn
verified,Manhattan
verified,Manhattan
verified,Manhattan
verified,Manhattan
verified,Manhattan
verified,Manhattan
verified,Brooklyn
verified,Manhattan
unconfirmed,Brooklyn
verified,Manhattan
verified,Brooklyn
verified,Manhattan
unconfirmed,Brooklyn
verified,Brooklyn
unconfirmed,Brooklyn
unconfirmed,Brooklyn
unconfirmed,Manhattan
unconfirmed,Brooklyn
verified,Manhattan
unconfirmed,Brooklyn
verified,Brooklyn
verified,Manhattan
verified,Brooklyn
unconfirmed,Brooklyn
verified,Brooklyn
verified,Manhattan
verified,Manhattan
unconfirmed,Brooklyn
unconfirmed,Queens
verified,Manhattan
unconfirmed,Manhattan
unconfirmed,Manhattan
unconfirmed,Brooklyn
verified,Brooklyn
verified,Brooklyn
verified,Brooklyn
verified,Manhattan
verified,Brooklyn
verified,Manhattan
unconfirmed,Brooklyn
unconfirmed,Brooklyn
verified,Brooklyn
verified,Brooklyn
verified,Brooklyn
verified,Bronx
verified,Brooklyn
unconfirmed,Brooklyn
verified,Brooklyn
verified,Brooklyn
verified,Brooklyn
verified,Queens
unconfirmed,Brooklyn
verified,Manhattan
verified,Manhattan
verified,Brooklyn
verified,Brooklyn
unconfirmed,Manhattan
unconfirmed,Staten Island
verified,Brooklyn
unconfirmed,Queens
unconfirmed,Manhattan
verified,Brooklyn
verified,Manhattan
unconfirmed,Brooklyn
verified,Brooklyn
unconfirmed,Manhattan
unconfirmed,Brooklyn
verified,Manhattan
verified,Manhattan
verified,Brooklyn
unconfirmed,Brooklyn
verified,Bronx
unconfirmed,Manhattan
verified,Manhattan
unconfirmed,Manhattan
unconfirmed,Brooklyn
unconfirmed,Manhattan
verified,Manhattan
unconfirmed,Queens
unconfirmed,Manhattan
unconfirmed,Manhattan
unconfirmed,Queens
unconfirmed,Brooklyn
unconfirmed,Manhattan
unconfirmed,Manhattan
unconfirmed,Manhattan
unconfirmed,Brooklyn
unconfirmed,Brooklyn
verified,Manhattan
unconfirmed,Manhattan
unconfirmed,Queens
verified,Manhattan
unconfirmed,Brooklyn
verified,Brooklyn
unconfirmed,Brooklyn
verified,Brooklyn
verified,Brooklyn
verified,Manhattan
unconfirmed,Brooklyn
unconfirmed,Brooklyn
verified,Brooklyn
unconfirmed,Brooklyn
unconfirmed,Manhattan
unconfirmed,Bronx
unconfirmed,Brooklyn
unconfirmed,Manhattan
unconfirmed,Brooklyn
unconfirmed,Manhattan
unconfirmed,Manhattan
verified,Manhattan
unconfirmed,Manhattan
verified,Brooklyn
unconfirmed,Manhattan
unconfirmed,Manhattan
unconfirmed,Manhattan
unconfirmed,Brooklyn
unconfirmed,Brooklyn
verified,Brooklyn
verified,Brooklyn
unconfirmed,Brooklyn
unconfirmed,Manhattan
unconfirmed,Manhattan
unconfirmed,Brooklyn
unconfirmed,Brooklyn
verified,Brooklyn
verified,Brooklyn
verified,Brooklyn
unconfirmed,Queens
unconfirmed,Manhattan
verified,Manhattan
verified,Manhattan
verified,Staten Island
unconfirmed,Staten Island
unconfirmed,Brooklyn
unconfirmed,Manhattan
unconfirmed,Brooklyn
verified,Manhattan
unconfirmed,Manhattan
unconfirmed,Manhattan
verified,Manhattan
verified,Manhattan
verified,Brooklyn
verified,Manhattan
verified,Manhattan
unconfirmed,Brooklyn
unconfirmed,Manhattan
unconfirmed,Manhattan
verified,Brooklyn
verified,Brooklyn
unconfirmed,Brooklyn
verified,Manhattan
unconfirmed,Manhattan
verified,Manhattan
unconfirmed,Manhattan
unconfirmed,Manhattan
unconfirmed,Brooklyn
verified,Manhattan
verified,Manhattan
unconfirmed,Manhattan
unconfirmed,Queens
verified,Bronx
verified,Brooklyn
unconfirmed,Manhattan
unconfirmed,Manhattan
unconfirmed,Brooklyn
verified,Manhattan
unconfirmed,Brooklyn
unconfirmed,Queens
unconfirmed,Brooklyn
verified,Queens
unconfirmed,Brooklyn
verified,Manhattan
verified,Brooklyn
verified,Brooklyn
verified,Brooklyn
unconfirmed,Brooklyn
unconfirmed,Brooklyn
unconfirmed,Manhattan
verified,Manhattan
unconfirmed,Manhattan
verified,Manhattan
unconfirmed,Manhattan
verified,Brooklyn
verified,Brooklyn
unconfirmed,Brooklyn
unconfirmed,Manhattan
unconfirmed,Manhattan
verified,Brooklyn
verified,Brooklyn
unconfirmed,Manhattan
