borough,instant_bookable
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,TRUE
Manhattan,FALSE
Manhattan,TRUE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,TRUE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,TRUE
Manhattan,FALSE
Brooklyn,TRUE
Manhattan,FALSE
Brooklyn,TRUE
Manhattan,TRUE
Manhattan,FALSE
Brooklyn,TRUE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,TRUE
Brooklyn,FALSE
Manhattan,TRUE
Brooklyn,TRUE
Brooklyn,TRUE
Manhattan,TRUE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,TRUE
Brooklyn,FALSE
Brooklyn,TRUE
Manhattan,FALSE
Brooklyn,TRUE
Brooklyn,TRUE
Brooklyn,FALSE
Brooklyn,FALSE
Staten Island,TRUE
Brooklyn,FALSE
Bronx,TRUE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,TRUE
Manhattan,TRUE
Manhattan,FALSE
Brooklyn,FALSE
Queens,TRUE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Bronx,TRUE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,TRUE
Manhattan,TRUE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,TRUE
Manhattan,TRUE
Manhattan,TRUE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Queens,TRUE
Brooklyn,TRUE
Manhattan,FALSE
Manhattan,TRUE
Manhattan,TRUE
Manhattan,TRUE
Manhattan,FALSE
Manhattan,TRUE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,TRUE
Brooklyn,TRUE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,TRUE
Manhattan,FALSE
Brooklyn,TRUE
Manhattan,FALSE
Manhattan,TRUE
Manhattan,FALSE
Brooklyn,TRUE
Manhattan,FALSE
Brooklyn,TRUE
Brooklyn,FALSE
Manhattan,TRUE
Manhattan,FALSE
Brooklyn,TRUE
Manhattan,TRUE
Manhattan,FALSE
Manhattan,TRUE
Manhattan,TRUE
Manhattan,TRUE
Manhattan,TRUE
Brooklyn,TRUE
Bronx,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,TRUE
Manhattan,TRUE
Queens,TRUE
Brooklyn,TRUE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,TRUE
Brooklyn,TRUE
Manhattan,TRUE
Brooklyn,TRUE
Brooklyn,FALSE
Brooklyn,TRUE
Manhattan,FALSE
Queens,TRUE
Brooklyn,FALSE
Brooklyn,TRUE
Manhattan,FALSE
Brooklyn,TRUE
Brooklyn,FALSE
Manhattan,TRUE
Queens,FALSE
Brooklyn,TRUE
Manhattan,TRUE
Brooklyn,FALSE
Brooklyn,TRUE
Manhattan,TRUE
Manhattan,TRUE
Brooklyn,TRUE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,TRUE
Manhattan,TRUE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,TRUE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,TRUE
Brooklyn,FALSE
Brooklyn,TRUE
Brooklyn,TRUE
Manhattan,FALSE
Manhattan,TRUE
Brooklyn,TRUE
Brooklyn,FALSE
Manhattan,TRUE
Manhattan,TRUE
Brooklyn,FALSE
Manhattan,TRUE
Manhattan,FALSE
Manhattan,TRUE
Manhattan,FALSE
Bronx,TRUE
Manhattan,FALSE
Queens,TRUE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,TRUE
Manhattan,FALSE
Queens,TRUE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,TRUE
Brooklyn,TRUE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,TRUE
Brooklyn,FALSE
Brooklyn,TRUE
Brooklyn,TRUE
Manhattan,FALSE
Manhattan,TRUE
Manhattan,TRUE
Queens,FALSE
Brooklyn,FALSE
Manhattan,TRUE
Manhattan,TRUE
Brooklyn,FALSE
Manhattan,FALSE
Queens,TRUE
Manhattan,TRUE
Manhattan,TRUE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,TRUE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,TRUE
Brooklyn,TRUE
Manhattan,FALSE
Brooklyn,TRUE
Manhattan,TRUE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,TRUE
Brooklyn,TRUE
Brooklyn,TRUE
Manhattan,TRUE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,TRUE
Brooklyn,FALSE
Manhattan,TRUE
Brooklyn,FALSE
Brooklyn,TRUE
Brooklyn,TRUE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Queens,TRUE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,TRUE
Brooklyn,FALSE
Brooklyn,TRUE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,TRUE
Brooklyn,TRUE
Brooklyn,FALSE
Brooklyn,TRUE
Brooklyn,FALSE
Brooklyn,FALSE
Bronx,FALSE
Brooklyn,FALSE
Brooklyn,TRUE
Brooklyn,TRUE
Brooklyn,FALSE
Brooklyn,TRUE
Queens,FALSE
Brooklyn,FALSE
Manhattan,TRUE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,TRUE
Staten Island,TRUE
Brooklyn,FALSE
Queens,TRUE
Manhattan,TRUE
Brooklyn,FALSE
Manhattan,TRUE
Brooklyn,FALSE
Brooklyn,TRUE
Manhattan,TRUE
Brooklyn,TRUE
Manhattan,TRUE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Bronx,TRUE
Manhattan,TRUE
Manhattan,TRUE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Queens,FALSE
Manhattan,TRUE
Manhattan,TRUE
Queens,TRUE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,TRUE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Queens,TRUE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,TRUE
Brooklyn,FALSE
Brooklyn,TRUE
Brooklyn,TRUE
Manhattan,TRUE
Brooklyn,TRUE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,TRUE
Manhattan,FALSE
Bronx,FALSE
Brooklyn,TRUE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,TRUE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,TRUE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,TRUE
Manhattan,TRUE
Brooklyn,TRUE
Brooklyn,TRUE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,TRUE
Brooklyn,TRUE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Queens,TRUE
Manhattan,FALSE
Manhattan,TRUE
Manhattan,FALSE
Staten Island,FALSE
Staten Island,FALSE
Brooklyn,TRUE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,TRUE
Manhattan,TRUE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,TRUE
Manhattan,FALSE
Manhattan,TRUE
Brooklyn,TRUE
Manhattan,FALSE
Manhattan,TRUE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,TRUE
Manhattan,TRUE
Manhattan,TRUE
Manhattan,TRUE
Manhattan,TRUE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,TRUE
Manhattan,TRUE
Queens,TRUE
Bronx,FALSE
Brooklyn,TRUE
Manhattan,TRUE
Manhattan,FALSE
Brooklyn,TRUE
Manhattan,TRUE
Brooklyn,TRUE
Queens,TRUE
Brooklyn,TRUE
Queens,TRUE
Brooklyn,TRUE
