neighbourhood.group,id,price,service.fee,minimum.nights,number.of.reviews,reviews.per.month,review.rate.number,calculated.host.listings.count,availability.365
Brooklyn,1001254,966,193,10,9,0.21,4,6,286
Manhattan,1002102,142,28,30,45,0.38,4,2,228
Brooklyn,1002755,368,74,30,270,4.64,4,1,322
Manhattan,1003689,204,41,10,9,0.1,3,1,289
Manhattan,1004098,577,115,3,74,0.59,3,1,374
Brooklyn,1004650,71,14,45,49,0.4,5,1,224
Brooklyn,1005202,1060,212,45,49,0.4,5,1,219
Manhattan,1005754,1018,204,2,430,3.47,3,1,180
Manhattan,1006307,291,58,2,118,0.99,5,1,375
Manhattan,1006859,319,64,1,160,1.33,3,4,1
Manhattan,1007411,606,121,5,53,0.43,4,1,163
Manhattan,1007964,714,143,2,188,1.5,4,1,258
Brooklyn,1008516,580,116,4,167,1.34,4,3,47
Manhattan,1009068,149,30,2,113,0.91,3,1,68
Brooklyn,1022323,1097,219,2,231,1.96,3,2,214
Manhattan,1023428,1010,202,1,214,1.81,5,4,110
Manhattan,1023980,563,113,2,245,2.08,3,2,354
Brooklyn,1024533,370,74,3,15,0.39,2,1,33
Brooklyn,1025085,687,137,7,25,0.23,1,1,405
Manhattan,1025637,856,171,4,81,0.69,3,1,86
Brooklyn,1060984,589,118,30,29,0.4,1,1,83
Manhattan,1061537,839,168,2,170,1.61,1,1,258
Brooklyn,1062089,528,106,30,19,0.2,2,1,400
Manhattan,1062641,66,13,2,334,3,1,2,34
Brooklyn,1063194,761,152,2,19,0.2,4,6,203
Brooklyn,1064298,631,126,30,467,4.22,3,2,280
Manhattan,1073135,449,90,3,155,1.42,3,3,410
Brooklyn,1073687,930,186,3,260,2.35,4,1,388
Manhattan,1074240,329,66,5,73,0.66,4,1,13
Brooklyn,1074792,1125,225,3,193,1.86,2,1,62
Manhattan,1075344,1099,220,3,32,0.29,5,1,62
Manhattan,1075897,256,51,2,50,0.45,2,3,366
Manhattan,1076449,263,53,29,26,0.25,5,1,338
Brooklyn,1077001,96,19,2,2,0.02,4,1,334
Brooklyn,1083629,1133,227,3,200,1.86,5,4,166
Brooklyn,1084181,162,32,8,27,1.05,4,5,18
Manhattan,1084733,944,189,4,79,0.74,3,1,130
Brooklyn,1085286,505,101,15,9,0.09,2,1,43
Brooklyn,1085838,113,23,3,155,1.61,2,1,18
Brooklyn,1086390,810,162,15,4,0.05,3,1,0
Brooklyn,1094675,842,168,273,150,1.4,5,3,141
Staten Island,1095227,1015,203,131,166,1.66,4,1,-1
Brooklyn,1095779,503,101,275,47,0.94,5,1,263
Bronx,1096332,483,97,323,219,2.04,1,3,200
Brooklyn,1096884,176,35,59,193,1.78,4,1,219
Manhattan,1097436,185,37,99,84,0.78,4,4,144
Manhattan,1097989,387,77,268,114,1.06,4,1,320
Brooklyn,1098541,1155,231,-10,213,2,5,2,19
Manhattan,1099093,665,133,189,86,0.8,1,1,293
Manhattan,1099645,175,35,30,80,0.75,2,3,58
Manhattan,1100198,408,82,340,38,0.36,1,1,163
Manhattan,1100750,601,120,128,18,1.79,3,1,240
Brooklyn,1101302,107,21,350,206,1.92,4,2,96
Queens,1101855,724,145,166,10,0.11,4,5,300
