neighbourhood.group,room.type
Brooklyn,Private room
Manhattan,Entire home/apt
Brooklyn,Entire home/apt
Manhattan,Entire home/apt
Manhattan,Entire home/apt
Brooklyn,Private room
Brooklyn,Private room
Manhattan,Private room
Manhattan,Private room
Manhattan,Entire home/apt
Manhattan,Entire home/apt
Manhattan,Private room
Brooklyn,Private room
Manhattan,Private room
Brooklyn,Entire home/apt
Manhattan,Shared room
Manhattan,Private room
Brooklyn,Entire home/apt
Brooklyn,Private room
Manhattan,Private room
Brooklyn,Entire home/apt
Manhattan,Private room
Brooklyn,Entire home/apt
Manhattan,Private room
Brooklyn,Private room
Brooklyn,Entire home/apt
Manhattan,Entire home/apt
Brooklyn,Private room
Manhattan,Entire home/apt
Brooklyn,Private room
Manhattan,Entire home/apt
Manhattan,Private room
Manhattan,Entire home/apt
Brooklyn,Private room
Brooklyn,Private room
Brooklyn,Private room
Manhattan,Private room
Brooklyn,Private room
Brooklyn,Private room
Brooklyn,Entire home/apt
Brooklyn,Entire home/apt
Staten Island,Private room
Brooklyn,Private room
Bronx,Private room
Brooklyn,Entire home/apt
Manhattan,Private room
Manhattan,Entire home/apt
Brooklyn,Private room
Manhattan,Entire home/apt
Manhattan,Entire home/apt
Manhattan,Entire home/apt
Manhattan,Entire home/apt
Brooklyn,Private room
Queens,Entire home/apt
Manhattan,Private room
Brooklyn,Entire home/apt
Brooklyn,Entire home/apt
Manhattan,Entire home/apt
Bronx,Private room
Manhattan,Private room
Brooklyn,Private room
Manhattan,Entire home/apt
Brooklyn,Entire home/apt
Manhattan,Entire home/apt
Manhattan,Entire home/apt
Manhattan,Entire home/apt
Manhattan,Entire home/apt
Manhattan,Entire home/apt
Manhattan,Private room
Brooklyn,Private room
Manhattan,Private room
Manhattan,Entire home/apt
Queens,Entire home/apt
Brooklyn,Entire home/apt
Manhattan,Entire home/apt
Manhattan,Entire home/apt
Manhattan,Entire home/apt
Manhattan,Entire home/apt
Manhattan,Entire home/apt
Manhattan,Private room
Manhattan,Entire home/apt
Manhattan,Private room
Manhattan,Private room
Manhattan,Entire home/apt
Brooklyn,Entire home/apt
Brooklyn,Private room
Manhattan,Entire home/apt
Brooklyn,Private room
Manhattan,Entire home/apt
Brooklyn,Entire home/apt
Manhattan,Private room
Manhattan,Private room
Manhattan,Private room
Brooklyn,Entire home/apt
Manhattan,Entire home/apt
Brooklyn,Entire home/apt
Brooklyn,Private room
Manhattan,Entire home/apt
Manhattan,Entire home/apt
Brooklyn,Private room
Manhattan,Private room
Manhattan,Private room
Manhattan,Entire home/apt
Manhattan,Entire home/apt
Manhattan,Entire home/apt
Manhattan,Entire home/apt
Brooklyn,Entire home/apt
Bronx,Entire home/apt
Manhattan,Entire home/apt
Brooklyn,Private room
Brooklyn,Entire home/apt
Brooklyn,Entire home/apt
Manhattan,Entire home/apt
Manhattan,Entire home/apt
Queens,Entire home/apt
Brooklyn,Private room
Brooklyn,Private room
Manhattan,Entire home/apt
Brooklyn,Entire home/apt
Brooklyn,Private room
Manhattan,Private room
Brooklyn,Entire home/apt
