neighbourhood.group,instant_bookable
Brooklyn,NO
Manhattan,NO
Brooklyn,YES
Manhattan,NO
Manhattan,YES
Brooklyn,NO
Brooklyn,NO
Manhattan,YES
Manhattan,NO
Manhattan,NO
Manhattan,YES
Manhattan,NO
Brooklyn,YES
Manhattan,NO
Brooklyn,YES
Manhattan,YES
Manhattan,NO
Brooklyn,YES
Brooklyn,NO
Manhattan,NO
Brooklyn,NO
Manhattan,YES
Brooklyn,NO
Manhattan,YES
Brooklyn,YES
Brooklyn,YES
Manhattan,YES
Brooklyn,NO
Manhattan,NO
Brooklyn,NO
Manhattan,NO
Manhattan,NO
Manhattan,NO
Brooklyn,YES
Brooklyn,NO
Brooklyn,YES
Manhattan,NO
Brooklyn,YES
Brooklyn,YES
Brooklyn,NO
Brooklyn,NO
Staten Island,YES
Brooklyn,NO
Bronx,YES
Brooklyn,NO
Manhattan,NO
Manhattan,NO
Brooklyn,NO
Manhattan,NO
Manhattan,YES
Manhattan,YES
Manhattan,NO
Brooklyn,NO
Queens,YES
Manhattan,NO
Brooklyn,NO
Brooklyn,NO
Manhattan,NO
Bronx,YES
Manhattan,NO
Brooklyn,NO
Manhattan,NO
Brooklyn,YES
Manhattan,YES
Manhattan,NO
Manhattan,NO
Manhattan,YES
Manhattan,YES
Manhattan,YES
Brooklyn,NO
Manhattan,NO
Manhattan,NO
Queens,YES
Brooklyn,YES
Manhattan,NO
Manhattan,YES
Manhattan,YES
Manhattan,YES
Manhattan,NO
Manhattan,YES
Manhattan,NO
Manhattan,NO
Manhattan,NO
Manhattan,YES
Brooklyn,YES
Brooklyn,NO
Manhattan,NO
Brooklyn,YES
Manhattan,NO
Brooklyn,YES
Manhattan,NO
Manhattan,YES
Manhattan,NO
Brooklyn,YES
Manhattan,NO
Brooklyn,YES
Brooklyn,NO
Manhattan,YES
Manhattan,NO
Brooklyn,YES
Manhattan,YES
Manhattan,NO
Manhattan,YES
Manhattan,YES
Manhattan,YES
Manhattan,YES
Brooklyn,YES
Bronx,NO
Manhattan,NO
Brooklyn,NO
Brooklyn,NO
Brooklyn,NO
Manhattan,YES
Manhattan,YES
Queens,YES
Brooklyn,YES
Brooklyn,NO
Manhattan,NO
Brooklyn,YES
Brooklyn,YES
Manhattan,YES
Brooklyn,YES
Brooklyn,NO
Brooklyn,YES
Manhattan,NO
Queens,YES
Brooklyn,NO
Brooklyn,YES
Manhattan,NO
Brooklyn,YES
Brooklyn,NO
Manhattan,YES
Queens,NO
Brooklyn,YES
Manhattan,YES
Brooklyn,NO
Brooklyn,YES
Manhattan,YES
Manhattan,YES
Brooklyn,YES
Manhattan,NO
Manhattan,NO
Brooklyn,NO
Brooklyn,YES
Manhattan,YES
Brooklyn,NO
Manhattan,NO
Manhattan,NO
Manhattan,YES
Brooklyn,NO
Brooklyn,NO
Manhattan,YES
Brooklyn,NO
Brooklyn,YES
Brooklyn,YES
Manhattan,NO
Manhattan,YES
Brooklyn,YES
Brooklyn,NO
Manhattan,YES
Manhattan,YES
Brooklyn,NO
Manhattan,YES
Manhattan,NO
Manhattan,YES
Manhattan,NO
Bronx,YES
Manhattan,NO
Queens,YES
Brooklyn,NO
Manhattan,NO
Manhattan,YES
Manhattan,NO
Queens,YES
Brooklyn,NO
Manhattan,NO
Manhattan,YES
Brooklyn,YES
Brooklyn,NO
Brooklyn,NO
Brooklyn,NO
Brooklyn,NO
Brooklyn,YES
Brooklyn,NO
Brooklyn,YES
Brooklyn,YES
Manhattan,NO
Manhattan,YES
Manhattan,YES
Queens,NO
Brooklyn,NO
Manhattan,YES
Manhattan,YES
Brooklyn,NO
Manhattan,NO
Queens,YES
Manhattan,YES
Manhattan,YES
Manhattan,NO
Brooklyn,NO
Manhattan,NO
Manhattan,NO
Manhattan,YES
Manhattan,NO
Manhattan,NO
Manhattan,YES
Brooklyn,YES
Manhattan,NO
Brooklyn,YES
Manhattan,YES
Brooklyn,NO
Manhattan,NO
Brooklyn,NO
Brooklyn,YES
Brooklyn,YES
Brooklyn,YES
Manhattan,YES
Brooklyn,NO
Manhattan,NO
Brooklyn,YES
Brooklyn,NO
Manhattan,YES
Brooklyn,NO
Brooklyn,YES
Brooklyn,YES
Manhattan,NO
Manhattan,NO
Brooklyn,NO
Queens,YES
Manhattan,NO
Manhattan,NO
Manhattan,YES
Brooklyn,NO
Brooklyn,YES
Brooklyn,NO
Brooklyn,NO
Manhattan,NO
Brooklyn,NO
Manhattan,YES
Brooklyn,YES
Brooklyn,NO
Brooklyn,YES
Brooklyn,NO
Brooklyn,NO
Bronx,NO
Brooklyn,NO
Brooklyn,YES
Brooklyn,YES
Brooklyn,NO
Brooklyn,YES
Queens,NO
Brooklyn,NO
Manhattan,YES
Manhattan,NO
Brooklyn,NO
Brooklyn,NO
Manhattan,YES
Staten Island,YES
Brooklyn,NO
Queens,YES
Manhattan,YES
Brooklyn,NO
Manhattan,YES
Brooklyn,NO
Brooklyn,YES
Manhattan,YES
Brooklyn,YES
Manhattan,YES
Manhattan,NO
Brooklyn,NO
Brooklyn,NO
Bronx,YES
Manhattan,YES
Manhattan,YES
Manhattan,NO
Brooklyn,NO
Manhattan,NO
Manhattan,NO
Queens,NO
Manhattan,YES
Manhattan,YES
Queens,YES
Brooklyn,NO
Manhattan,NO
Manhattan,NO
Manhattan,NO
Brooklyn,YES
Brooklyn,NO
Manhattan,NO
Manhattan,NO
Queens,YES
Manhattan,NO
Brooklyn,NO
Brooklyn,YES
Brooklyn,NO
Brooklyn,YES
Brooklyn,YES
Manhattan,YES
Brooklyn,YES
Brooklyn,NO
Brooklyn,NO
Brooklyn,YES
Manhattan,NO
Bronx,NO
Brooklyn,YES
Manhattan,NO
Brooklyn,NO
Manhattan,YES
Manhattan,NO
Manhattan,NO
Manhattan,YES
