borough,neighbourhood,lat,long
Brooklyn,Kensington,40.64749,-73.97237
Brooklyn,Clinton Hill,40.68514,-73.95976
Brooklyn,Bedford-Stuyvesant,40.68688,-73.95596
Brooklyn,South Slope,40.71344,-73.99037
Brooklyn,Bushwick,40.80316,-73.96545
Brooklyn,Fort Greene,40.79826,-73.96113
Brooklyn,Williamsburg,40.70186,-73.92745
Brooklyn,Gowanus,40.7229,-73.98199
Brooklyn,Greenpoint,40.66278,-73.97966
Brooklyn,Flatlands,40.79009,-73.97927
Brooklyn,Prospect Heights,40.71459,-73.94844
Brooklyn,Carroll Gardens,40.8092,-73.94421
Brooklyn,Park Slope,40.68414,-73.96351
Brooklyn,Windsor Terrace,40.73494,-73.9503
Brooklyn,Boerum Hill,40.6741,-73.96595
Brooklyn,Crown Heights,40.70641,-73.91765
Brooklyn,Brooklyn Heights,40.71045,-73.9677
Brooklyn,East New York,40.81526,-73.94791
Brooklyn,Prospect-Lefferts Gardens,40.73423,-74.0046
Brooklyn,Sheepshead Bay,40.70382,-73.89797
Brooklyn,Fort Hamilton,40.81035,-73.94598
Brooklyn,Bensonhurst,40.83075,-73.93058
Brooklyn,Sunset Park,40.79958,-73.94275
Brooklyn,DUMBO,40.72752,-73.98432
Brooklyn,Brighton Beach,40.7672,-73.98508
Brooklyn,East Flatbush,40.80931,-73.94343
Brooklyn,Cypress Hills,40.8251,-73.94287
Brooklyn,Cobble Hill,40.70411,-73.89934
Brooklyn,Bay Ridge,40.71756,-73.99503
Brooklyn,Flatbush,40.7589,-73.96991
Brooklyn,Columbia St,40.80335,-73.9575
Brooklyn,Vinegar Hill,40.71445,-73.9908
Brooklyn,Canarsie,40.77956,-73.98098
Brooklyn,Gravesend,40.78,-73.98249
Brooklyn,Borough Park,40.72966,-74.00243
Brooklyn,Downtown Brooklyn,40.87207,-73.90193
Brooklyn,Midwood,40.71903,-73.9597
Brooklyn,Red Hook,40.71398,-73.95763
Brooklyn,Dyker Heights,40.73861,-73.95485
Brooklyn,Sea Gate,40.58615,-73.81245
Brooklyn,Navy Yard,40.69088,-73.97307
Brooklyn,Brownsville,40.67555,-73.95057
Brooklyn,Manhattan Beach,40.72094,-73.99706
Brooklyn,Bergen Beach,40.67963,-73.93908
Brooklyn,Coney Island,40.74102,-73.91681
Brooklyn,Bath Beach,40.6809,-73.99233
Brooklyn,Mill Basin,40.67505,-73.95969
Brooklyn,Gerritsen Beach,40.66788,-73.94813
