borough,neighbourhood,lat,long
Manhattan,Midtown,40.75362,-73.98377
Manhattan,East Harlem,40.79851,-73.94399
Manhattan,Murray Hill,40.74767,-73.975
Manhattan,Hell's Kitchen,40.76489,-73.98493
Manhattan,Upper West Side,40.80178,-73.96723
Manhattan,Chinatown,40.71344,-73.99037
Manhattan,Lower East Side,40.71401,-73.98917
Manhattan,East Village,40.7229,-73.98199
Manhattan,Harlem,40.8092,-73.94421
Manhattan,West Village,40.73442,-74.00303
Manhattan,Financial District,40.70666,-74.01374
Manhattan,Morningside Heights,40.80549,-73.95924
Manhattan,Flatiron District,40.7403,-73.98498
Manhattan,Roosevelt Island,40.76193,-73.9501
Manhattan,SoHo,40.72003,-74.00262
Manhattan,Greenwich Village,40.73194,-73.99474
Manhattan,Chelsea,40.74358,-74.00027
Manhattan,Little Italy,40.71943,-73.99627
Manhattan,Inwood,40.86713,-73.92811
Manhattan,Washington Heights,40.83494,-73.93869
Manhattan,Upper East Side,40.78491,-73.9508
Manhattan,Nolita,40.72255,-73.99346
Manhattan,Gramercy,40.73476,-73.98452
Manhattan,unknown,40.73089,-73.98195
Manhattan,Theater District,40.75877,-73.98863
Manhattan,Kips Bay,40.73833,-73.98186
Manhattan,Battery Park City,40.71012,-74.01504
Manhattan,Tribeca,40.72203,-74.00988
Manhattan,Two Bridges,40.71137,-73.99403
Manhattan,Civic Center,40.71164,-74.00774
Manhattan,NoHo,40.7256,-73.99445
Manhattan,Stuyvesant Town,40.73196,-73.97932
Manhattan,Marble Hill,40.87494,-73.91057
