borough,neighbourhood,lat,long
Queens,Ridgewood,40.70382,-73.89797
Queens,Astoria,40.77635,-73.93426
Queens,Queens Village,40.72413,-73.76133
Queens,Rockaway Beach,40.58615,-73.81245
Queens,Sunnyside,40.7385,-73.91806
Queens,Long Island City,40.75627,-73.9211
Queens,Ditmars Steinway,40.77679,-73.91687
Queens,St. Albans,40.70554,-73.76637
Queens,Rego Park,40.73349,-73.86009
Queens,Woodside,40.74409,-73.91122
Queens,Briarwood,40.71151,-73.81561
Queens,Ozone Park,40.68581,-73.84642
Queens,Jackson Heights,40.75193,-73.87873
Queens,Jamaica,40.67747,-73.76493
Queens,East Elmhurst,40.75541,-73.89239
Queens,Flushing,40.75578,-73.81948
Queens,Arverne,40.59783,-73.80158
Queens,Elmhurst,40.73587,-73.88279
Queens,Bayside,40.75666,-73.76314
Queens,Kew Gardens,40.70947,-73.82922
Queens,College Point,40.78417,-73.83875
Queens,Glendale,40.70538,-73.89448
Queens,Richmond Hill,40.69414,-73.82538
Queens,Maspeth,40.73732,-73.90168
Queens,Woodhaven,40.68968,-73.85219
Queens,Forest Hills,40.71697,-73.83396
Queens,Middle Village,40.71576,-73.86268
Queens,Kew Gardens Hills,40.72664,-73.82795
Queens,Bay Terrace,40.78645,-73.77958
Queens,Whitestone,40.79721,-73.816
Queens,Bayswater,40.60549,-73.75547
Queens,Springfield Gardens,40.67425,-73.75796
Queens,Howard Beach,40.65443,-73.84605
Queens,Belle Harbor,40.57321,-73.85769
Queens,Bellerose,40.72401,-73.72901
Queens,Fresh Meadows,40.7312,-73.78579
Queens,Far Rockaway,40.59642,-73.75606
Queens,South Ozone Park,40.66788,-73.82419
Queens,Corona,40.73886,-73.85147
Queens,Jamaica Estates,40.72362,-73.791
Queens,Neponsit,40.57215,-73.85822
Queens,Laurelton,40.67168,-73.74744
Queens,Rosedale,40.67836,-73.729
Queens,Edgemere,40.59606,-73.77882
Queens,Cambria Heights,40.68891,-73.73531
Queens,Holliswood,40.72468,-73.76681
Queens,Jamaica Hills,40.71245,-73.79806
Queens,Douglaston,40.76978,-73.73915
Queens,Little Neck,40.75794,-73.72956
Queens,Hollis,40.71455,-73.7613
Queens,Breezy Point,40.56605,-73.86994
Queens,Glen Oaks,40.74791,-73.70522
