borough,neighbourhood,lat,long
Staten Island,St. George,40.64524,-74.08088
Staten Island,Emerson Hill,40.60742,-74.14388
Staten Island,Arrochar,40.59251,-74.06479
Staten Island,Clifton,40.62318,-74.07848
Staten Island,Graniteville,40.62109,-74.16534
Staten Island,Stapleton,40.62766,-74.07988
Staten Island,New Springville,40.59274,-74.16178
Staten Island,Tottenville,40.50868,-74.23986
Staten Island,Tompkinsville,40.63358,-74.0833
Staten Island,Mariners Harbor,40.62879,-74.16062
Staten Island,Concord,40.60183,-74.08953
Staten Island,Port Richmond,40.62947,-74.13378
Staten Island,Shore Acres,40.61135,-74.06356
Staten Island,Eltingville,40.54268,-74.16254
Staten Island,Lighthouse Hill,40.57718,-74.13981
Staten Island,West Brighton,40.63182,-74.124
Staten Island,Great Kills,40.5517,-74.14636
Staten Island,Dongan Hills,40.58115,-74.09182
Staten Island,Randall Manor,40.63878,-74.10636
Staten Island,Todt Hill,40.60926,-74.10092
Staten Island,Silver Lake,40.62257,-74.09984
Staten Island,Grymes Hill,40.61201,-74.09513
Staten Island,Castleton Corners,40.61042,-74.12277
Staten Island,New Brighton,40.64465,-74.09272
Staten Island,Richmondtown,40.57093,-74.12429
Staten Island,Howland Hook,40.63245,-74.17065
Staten Island,Prince's Bay,40.52211,-74.18028
Staten Island,South Beach,40.59116,-74.08174
Staten Island,Midland Beach,40.56933,-74.09493
Staten Island,Oakwood,40.56233,-74.12673
Staten Island,Huguenot,40.53871,-74.16966
Staten Island,Grant City,40.58023,-74.10725
Staten Island,Westerleigh,40.61357,-74.13566
Staten Island,"Bay Terrace, Staten Island",40.55182,-74.14439
Staten Island,Rosebank,40.61353,-74.06724
Staten Island,Arden Heights,40.56033,-74.18259
Staten Island,Bull's Head,40.60295,-74.17117
Staten Island,Rossville,40.5479,-74.21017
Staten Island,Willowbrook,40.59886,-74.13217
Staten Island,New Dorp Beach,40.56629,-74.10331
Staten Island,Woodrow,40.53777,-74.20674
Staten Island,"Chelsea, Staten Island",40.59116,-74.1858
Staten Island,New Dorp,40.5767,-74.11622
