borough,neighbourhood,lat,long
Brooklyn,Kensington,40.64749,-73.97237
Brooklyn,Clinton Hill,40.68514,-73.95976
Brooklyn,Bedford-Stuyvesant,40.68688,-73.95596
Brooklyn,South Slope,40.71344,-73.99037
Brooklyn,Bushwick,40.80316,-73.96545
Brooklyn,Fort Greene,40.79826,-73.96113
Brooklyn,Williamsburg,40.70186,-73.92745
Brooklyn,Gowanus,40.7229,-73.98199
Brooklyn,Greenpoint,40.66278,-73.97966
Brooklyn,Flatlands,40.79009,-73.97927
Brooklyn,Prospect Heights,40.71459,-73.94844
Brooklyn,Carroll Gardens,40.8092,-73.94421
Brooklyn,Park Slope,40.68414,-73.96351
Brooklyn,Windsor Terrace,40.73494,-73.9503
Brooklyn,Boerum Hill,40.6741,-73.96595
Brooklyn,Crown Heights,40.70641,-73.91765
Brooklyn,Brooklyn Heights,40.71045,-73.9677
Brooklyn,East New York,40.81526,-73.94791
Brooklyn,Prospect-Lefferts Gardens,40.73423,-74.0046
Brooklyn,Sheepshead Bay,40.70382,-73.89797
Brooklyn,Fort Hamilton,40.81035,-73.94598
Brooklyn,Bensonhurst,40.83075,-73.93058
Brooklyn,Sunset Park,40.79958,-73.94275
Brooklyn,DUMBO,40.72752,-73.98432
Brooklyn,Brighton Beach,40.7672,-73.98508
Brooklyn,East Flatbush,40.80931,-73.94343
Brooklyn,Cypress Hills,40.8251,-73.94287
Brooklyn,Cobble Hill,40.70411,-73.89934
Brooklyn,Bay Ridge,40.71756,-73.99503
Brooklyn,Flatbush,40.7589,-73.96991
Brooklyn,Columbia St,40.80335,-73.9575
Brooklyn,Vinegar Hill,40.71445,-73.9908
Brooklyn,Canarsie,40.77956,-73.98098
Brooklyn,Gravesend,40.78,-73.98249
Brooklyn,Borough Park,40.72966,-74.00243
Brooklyn,Downtown Brooklyn,40.87207,-73.90193
Brooklyn,Midwood,40.71903,-73.9597
Brooklyn,Red Hook,40.71398,-73.95763
Brooklyn,Dyker Heights,40.73861,-73.95485
Brooklyn,Sea Gate,40.58615,-73.81245
Brooklyn,Navy Yard,40.69088,-73.97307
Brooklyn,Brownsville,40.67555,-73.95057
Brooklyn,Manhattan Beach,40.72094,-73.99706
Brooklyn,Bergen Beach,40.67963,-73.93908
Brooklyn,Coney Island,40.74102,-73.91681
Brooklyn,Bath Beach,40.6809,-73.99233
Brooklyn,Mill Basin,40.67505,-73.95969
Brooklyn,Gerritsen Beach,40.66788,-73.94813
Manhattan,Midtown,40.75362,-73.98377
Manhattan,East Harlem,40.79851,-73.94399
Manhattan,Murray Hill,40.74767,-73.975
Manhattan,Hell's Kitchen,40.76489,-73.98493
Manhattan,Upper West Side,40.80178,-73.96723
Manhattan,Chinatown,40.71344,-73.99037
Manhattan,Lower East Side,40.71401,-73.98917
Manhattan,East Village,40.7229,-73.98199
Manhattan,Harlem,40.8092,-73.94421
Manhattan,West Village,40.73442,-74.00303
Manhattan,Financial District,40.70666,-74.01374
Manhattan,Morningside Heights,40.80549,-73.95924
Manhattan,Flatiron District,40.7403,-73.98498
Manhattan,Roosevelt Island,40.76193,-73.9501
Manhattan,SoHo,40.72003,-74.00262
Manhattan,Greenwich Village,40.73194,-73.99474
Manhattan,Chelsea,40.74358,-74.00027
Manhattan,Little Italy,40.71943,-73.99627
Manhattan,Inwood,40.86713,-73.92811
Manhattan,Washington Heights,40.83494,-73.93869
Manhattan,Upper East Side,40.78491,-73.9508
Manhattan,Nolita,40.72255,-73.99346
Manhattan,Gramercy,40.73476,-73.98452
Manhattan,unknown,40.73089,-73.98195
Manhattan,Theater District,40.75877,-73.98863
Manhattan,Kips Bay,40.73833,-73.98186
Manhattan,Battery Park City,40.71012,-74.01504
Manhattan,Tribeca,40.72203,-74.00988
Manhattan,Two Bridges,40.71137,-73.99403
Manhattan,Civic Center,40.71164,-74.00774
Manhattan,NoHo,40.7256,-73.99445
Manhattan,Stuyvesant Town,40.73196,-73.97932
Manhattan,Marble Hill,40.87494,-73.91057
Staten Island,St. George,40.64524,-74.08088
Staten Island,Emerson Hill,40.60742,-74.14388
Staten Island,Arrochar,40.59251,-74.06479
Staten Island,Clifton,40.62318,-74.07848
Staten Island,Graniteville,40.62109,-74.16534
Staten Island,Stapleton,40.62766,-74.07988
Staten Island,New Springville,40.59274,-74.16178
Staten Island,Tottenville,40.50868,-74.23986
Staten Island,Tompkinsville,40.63358,-74.0833
Staten Island,Mariners Harbor,40.62879,-74.16062
Staten Island,Concord,40.60183,-74.08953
Staten Island,Port Richmond,40.62947,-74.13378
Staten Island,Shore Acres,40.61135,-74.06356
Staten Island,Eltingville,40.54268,-74.16254
Staten Island,Lighthouse Hill,40.57718,-74.13981
Staten Island,West Brighton,40.63182,-74.124
Staten Island,Great Kills,40.5517,-74.14636
Staten Island,Dongan Hills,40.58115,-74.09182
Staten Island,Randall Manor,40.63878,-74.10636
Staten Island,Todt Hill,40.60926,-74.10092
Staten Island,Silver Lake,40.62257,-74.09984
Staten Island,Grymes Hill,40.61201,-74.09513
Staten Island,Castleton Corners,40.61042,-74.12277
Staten Island,New Brighton,40.64465,-74.09272
Staten Island,Richmondtown,40.57093,-74.12429
Staten Island,Howland Hook,40.63245,-74.17065
Staten Island,Prince's Bay,40.52211,-74.18028
